Player,Position,Age,Games,GS,MP,FG,FGA,FG_PCT,FG3,FG3A,FG3_PCT,FG2,FG2A,FG2_PCT,EFG_PCT,FT,FTA,FT_PCT,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
David Lee,PF,28,57,57,2121,464,922,.503,0,5,.000,464,917,.506,.503,219,280,.782,171,374,545,162,54,22,149,179,1147
Malcolm Lee,SG,21,19,0,243,23,59,.390,2,10,.200,21,49,.429,.407,14,17,.824,9,17,26,31,8,4,17,22,62
Kawhi Leonard,SF,20,64,39,1534,199,404,.493,41,109,.376,158,295,.536,.543,68,88,.773,104,223,327,70,85,24,44,88,507
Travis Leslie,SG,21,10,0,45,5,14,.357,0,0,,5,14,.357,.357,4,9,.444,6,3,9,5,2,2,2,4,14
Jon Leuer,PF,22,46,12,555,97,191,.508,3,9,.333,94,182,.516,.516,21,28,.750,45,75,120,25,14,17,18,67,218
Rashard Lewis,SF,32,28,15,729,85,221,.385,16,67,.239,69,154,.448,.421,31,37,.838,34,75,109,27,23,10,32,49,217
DeAndre Liggins,SF,23,17,0,115,12,25,.480,0,4,.000,12,21,.571,.480,9,19,.474,6,9,15,5,6,0,10,6,33
Jeremy Lin,PG,23,35,25,940,171,383,.446,24,75,.320,147,308,.477,.478,146,183,.798,18,89,107,216,55,9,126,78,512
Shaun Livingston,SG,26,58,27,1092,127,271,.469,2,3,.667,125,268,.466,.472,62,79,.785,39,84,123,122,27,20,66,79,318
Brook Lopez,C,23,5,5,136,38,77,.494,0,0,,38,77,.494,.494,20,32,.625,8,10,18,6,1,4,6,8,96
Robin Lopez,C,23,64,0,895,124,269,.461,0,0,,124,269,.461,.461,100,140,.714,90,119,209,20,18,60,43,128,348
Kevin Love,PF,23,55,55,2145,474,1059,.448,105,282,.372,369,777,.475,.497,379,460,.824,226,508,734,111,47,28,128,152,1432
Kyle Lowry,PG,25,47,38,1510,210,513,.409,79,211,.374,131,302,.434,.486,171,198,.864,37,176,213,310,73,14,130,133,670
John Lucas III,PG,29,49,2,726,143,358,.399,55,140,.393,88,218,.404,.476,28,32,.875,22,54,76,108,19,1,42,42,369
Shelvin Mack,PG,21,64,0,779,88,220,.400,12,42,.286,76,178,.427,.427,42,59,.712,12,80,92,131,28,2,48,50,230
Vernon Macklin,C,25,23,0,135,19,35,.543,0,0,,19,35,.543,.543,8,14,.571,14,20,34,5,4,4,3,9,46
Corey Maggette,SF,32,32,28,881,139,373,.373,24,66,.364,115,307,.375,.405,178,208,.856,21,104,125,39,23,1,59,83,480
Jamaal Magloire,C,33,34,1,374,17,45,.378,0,0,,17,45,.378,.378,7,27,.259,25,88,113,6,4,10,22,66,41
Ian Mahinmi,C,25,61,12,1139,130,238,.546,0,1,.000,130,237,.549,.546,94,147,.639,108,181,289,12,38,31,50,176,354
Shawn Marion,SF,33,63,63,1919,288,646,.446,20,68,.294,268,578,.464,.461,74,93,.796,145,320,465,132,67,36,98,87,670
Cartier Martin,SF,27,17,2,391,59,134,.440,29,75,.387,30,59,.508,.549,11,19,.579,12,46,58,10,11,2,13,35,158
Kenyon Martin,PF,34,42,0,940,97,220,.441,3,13,.231,94,207,.454,.448,20,54,.370,49,132,181,18,44,43,32,103,217
Kevin Martin,SG,28,40,40,1264,222,537,.413,78,225,.347,144,312,.462,.486,160,179,.894,13,93,106,110,28,3,70,70,682
Roger Mason,SG,31,52,0,697,103,258,.399,59,154,.383,44,104,.423,.514,21,27,.778,7,62,69,47,13,5,32,33,286
Wesley Matthews,SG,25,66,53,2228,314,763,.412,129,337,.383,185,426,.434,.496,147,171,.860,56,168,224,113,96,15,73,148,904
Jason Maxiell,PF,28,65,42,1466,183,383,.478,0,2,.000,183,381,.480,.478,58,106,.547,126,207,333,41,32,50,71,151,424
Eric Maynor,PG,24,9,0,137,14,39,.359,6,17,.353,8,22,.364,.436,4,4,1.000,3,10,13,22,5,0,11,13,38
